,Postcode,Borough,Neighbourhood
0,M5R,Central Toronto,"The Annex, Yorkville"
1,M1B,Scarborough,"Rouge, Malvern"
2,M4K,East Toronto,Riverdale
3,M5C,Downtown Toronto,St. James Town
4,M1C,Scarborough,"Highland Creek, Rouge Hill, Port Union"
5,M1J,Scarborough,Scarborough Village
6,M4L,East Toronto,India Bazaar
7,M4J,East York,East Toronto
8,M1R,Scarborough,"Maryvale, Wexford"
9,M1G,Scarborough,Woburn
10,M1X,Scarborough,Upper Rouge
11,M2R,North York,Willowdale West
12,M3K,North York,CFB Toronto
13,M5P,Central Toronto,Forest Hill North
14,M4H,East York,Thorncliffe Park
15,M6H,West Toronto,Dovercourt Village
16,M8X,Etobicoke,The Kingsway
17,M4W,Downtown Toronto,Rosedale
18,M8V,Etobicoke,New Toronto
19,M9L,North York,Humber Summit
20,M2K,North York,Bayview Village
21,M6P,West Toronto,High Park
22,M1P,Scarborough,"Dorset Park, Scarborough Town Centre, Wexford Heights"
23,M8Y,Etobicoke,"Humber Bay, Mimico NE, Old Mill South, The Queensway East, Royal York South East, Sunnylea"
24,M1E,Scarborough,"Morningside, West Hill"
25,M1S,Scarborough,Agincourt
26,M1N,Scarborough,Birch Cliff
27,M5A,Downtown Toronto,"Harbourfront, Regent Park"
28,M1T,Scarborough,Tam O'Shanter
29,M4C,East York,Woodbine Heights
30,M3C,North York,Flemingdon Park
31,M5K,Downtown Toronto,"Design Exchange, Toronto Dominion Centre"
32,M4T,Central Toronto,Moore Park
33,M6J,West Toronto,"Little Portugal, Trinity"
34,M6A,North York,"Lawrence Heights, Lawrence Manor"
35,M4A,North York,Victoria Village
36,M4X,Downtown Toronto,"Cabbagetown, St. James Town"
37,M6L,North York,Downsview
38,M5J,Downtown Toronto,"Toronto Islands, Union Station"
39,M6R,West Toronto,"Parkdale, Roncesvalles"
40,M2J,North York,Henry Farm
41,M9N,York,Weston
42,M4E,East Toronto,The Beaches
43,M3A,North York,Parkwoods
44,M1K,Scarborough,"Ionview, Kennedy Park"
45,M2M,North York,"Newtonbrook, Willowdale"
46,M9V,Etobicoke,"Beaumond Heights, Jamestown, Mount Olive, Silverstone, South Steeles, Thistletown"
47,M2L,North York,York Mills
48,M6M,York,"Keelesdale, Mount Dennis, Silverthorn"
49,M9M,North York,"Emery, Humberlea"
50,M3H,North York,"Bathurst Manor, Wilson Heights"
51,M4N,Central Toronto,Lawrence Park
52,M8W,Etobicoke,"Alderwood, Long Branch"
53,M8Z,Etobicoke,"Mimico NW, The Queensway West"
54,M5V,Downtown Toronto,"CN Tower, King and Spadina, Railway Lands, South Niagara"
55,M5S,Downtown Toronto,University of Toronto
56,M5T,Downtown Toronto,"Chinatown, Grange Park, Kensington Market"
57,M6S,West Toronto,"Runnymede, Swansea"
58,M1M,Scarborough,"Cliffcrest, Cliffside"
59,M9R,Etobicoke,Kingsview Village
60,M5E,Downtown Toronto,Berczy Park
61,M3J,North York,"Northwood Park, York University"
62,M3L,North York,Downsview West
63,M4B,East York,"Woodbine Gardens, Parkview Hill"
64,M5X,Downtown Toronto,"First Canadian Place, Underground city"
65,M2H,North York,Hillcrest Village
66,M5L,Downtown Toronto,Commerce Court
67,M4G,East York,Leaside
68,M4V,Central Toronto,"Deer Park, Rathnelly, South Hill"
69,M9C,Etobicoke,Markland Wood
70,M1L,Scarborough,"Clairlea, Golden Mile, Oakridge"
71,M4Y,Downtown Toronto,Church and Wellesley
72,M9A,Etobicoke,Islington Avenue
73,M6K,West Toronto,"Exhibition Place, Parkdale Village"
74,M5M,North York,Bedford Park
75,M1V,Scarborough,"Agincourt North, Milliken"
76,M9B,Etobicoke,"Islington, Princess Gardens, West Deane Park"
